millis,state,yaw_deg,pitch_deg,roll_deg,ax_G,ay_G,az_G,pressure_kPa,altitude_ft
13101,GROUND,139.379,-54.892,-166.662,-0.876,0.112,0.567,100.204,307.400
13104,GROUND,139.378,-54.844,-166.635,-0.888,0.120,0.570,100.200,308.500
13107,GROUND,139.406,-54.802,-166.637,-0.897,0.130,0.572,100.204,307.400
13110,GROUND,139.457,-54.763,-166.665,-0.907,0.138,0.576,100.204,307.400
13113,GROUND,139.525,-54.725,-166.713,-0.913,0.143,0.570,100.200,308.500
13116,GROUND,139.525,-54.725,-166.713,-0.913,0.143,0.570,100.200,308.500
13119,GROUND,139.525,-54.725,-166.713,-0.913,0.143,0.570,100.200,308.500
13124,GROUND,139.525,-54.725,-166.713,-0.913,0.143,0.570,100.200,308.500
13133,GROUND,139.604,-54.687,-166.778,-0.909,0.148,0.569,100.200,308.500
13135,GROUND,139.604,-54.687,-166.778,-0.909,0.148,0.569,100.200,308.500
13139,GROUND,139.965,-54.536,-167.099,-0.882,0.150,0.545,100.222,302.444
13142,GROUND,139.965,-54.536,-167.099,-0.882,0.150,0.545,100.222,302.444
13144,GROUND,139.965,-54.536,-167.099,-0.882,0.150,0.545,100.222,302.444
13147,GROUND,139.965,-54.536,-167.099,-0.882,0.150,0.545,100.222,302.444
13150,GROUND,139.965,-54.536,-167.099,-0.882,0.150,0.545,100.222,302.444
13153,GROUND,140.052,-54.503,-167.171,-0.876,0.143,0.538,100.200,308.500
13156,GROUND,140.136,-54.474,-167.233,-0.871,0.140,0.530,100.204,307.400
13159,GROUND,140.215,-54.447,-167.286,-0.866,0.134,0.523,100.204,307.400
13162,GROUND,140.286,-54.423,-167.328,-0.863,0.129,0.521,100.216,304.099
13165,GROUND,140.351,-54.403,-167.362,-0.860,0.120,0.520,100.216,304.099
13168,GROUND,140.351,-54.403,-167.362,-0.860,0.120,0.520,100.216,304.099
13171,GROUND,140.351,-54.403,-167.362,-0.860,0.120,0.520,100.216,304.099
13173,GROUND,140.351,-54.403,-167.362,-0.860,0.120,0.520,100.216,304.099
13176,GROUND,140.351,-54.403,-167.362,-0.860,0.120,0.520,100.216,304.099
13179,GROUND,140.413,-54.387,-167.389,-0.857,0.112,0.519,100.204,307.400
13182,GROUND,140.468,-54.376,-167.410,-0.855,0.100,0.522,100.216,304.099
13185,GROUND,140.516,-54.369,-167.427,-0.850,0.093,0.530,100.204,307.400
13189,GROUND,140.558,-54.366,-167.442,-0.841,0.081,0.535,100.204,307.400
13192,GROUND,140.595,-54.364,-167.454,-0.830,0.077,0.539,100.216,304.099
13194,GROUND,140.595,-54.364,-167.454,-0.830,0.077,0.539,100.216,304.099
13197,GROUND,140.595,-54.364,-167.454,-0.830,0.077,0.539,100.216,304.099
